link,headline,category,short_description,authors,date
https://www.huffingtonpost.com/entry/vintage-plane-cabin-photo_us_56cde64de4b0928f5a6dfdb0,"If You Think Flying Is Bad Now, Check Out This Terrifying Vintage Airplane Cabin",TRAVEL,"No, thank you.",Jamie Feldman,2016-03-10
https://www.huffingtonpost.com/entry/is-corporate-philanthropy-dead_us_5bb1b66ae4b01857b70a9e11,"Is Corporate Philanthropy Dead as We Know It, or Should It Be?",IMPACT,"The initiative's difference stands out when corporations realize that they are large enough and have plenty resources and skills to address social problems in our communities. And, the catch line is they can make profit while doing that.","Senay Ataselim-Yilmaz, Contributor
Chief Operating Officer, Turkish Philanthropy Funds",2013-10-26
https://www.huffingtonpost.com/entry/is-apple-about-fashion-or_us_5bb36bc2e4b0fa920b985b90,Is Apple About Fashion or Technology?,TECH,"It's amazing that technology, which is made with plastic, metal, glass, wires and circuit boards can make consumers so excited. That's not substance or superficial. That's brand moxie.","Scott MacFarland, Contributor
Chief Content Marketer and Digital Strategist",2013-11-16
https://www.huffingtonpost.com/entry/super-bowl-foods_us_5b9b4531e4b03a1dcc762871,Super Bowl Foods: HOW Many Calories Do Those Add Up To? (QUIZ),WELLNESS,"Football and commercials aside, the Super Bowl is all about the snacks. In fact, the average American will pack away nearly",Laura Schocker,2012-02-01
https://www.huffingtonpost.com/entry/donna-edwards-multiple-sclerosis-health-care-letter_us_5960de92e4b0615b9e91cbe8,Former Congresswoman Pens Emotional Plea To Colleagues For Affordable Health Care,POLITICS,Maryland Democrat Donna Edwards revealed that she has multiple sclerosis.,Daniel Marans,2017-07-08
https://www.huffingtonpost.com/entry/get-the-look-the-uncompli_us_5b9c7e04e4b03a1dcc7f2833,Get the Look: The Uncomplicated Bride,WEDDINGS,"In the beauty world, ""natural"" never really means ""natural"" -- the same amount of prep and primp goes into creating these modern looks.  But with a little know-how you can pull off this smart and understated style on your Big Day.","Linsey Snyder Wachalter, Contributor
Founder, Face Time Beauty Concierge",2012-11-13
https://www.huffingtonpost.com/entry/what-the-paris-attack-is-_b_6445372.html,What the Paris Attack Is Really About (Hint -- Neither Free Speech Nor the Varied Nature of Muslims),WORLDPOST,"Both of these large points are true in general, perhaps to the point of banality. Yet the first is too general and the second too specific. Both conceal real nuances that are important to moving policy discussions forward.","David Mednicoff, ContributorDirector, Middle Eastern Studies, UMass-Amherst",2015-01-09
https://www.huffingtonpost.com/entry/emergency-zika-funding_us_571fcd67e4b0b49df6a97201,Democrats Pressure Republicans To Move On Emergency Zika Funding Ahead Of Break,POLITICS,"""The mosquitoes are buzzing,"" Sen. Dick Durbin (D-Ill.) said.",Laura Barrón-López,2016-04-26
https://www.huffingtonpost.com/entry/destress-your-office_us_5b9ccc6ce4b03a1dcc81f6e9,4 Ways To De-Stress Your Home Office,HOME & LIVING,"Let's face it, this room is anything but an organized sanctuary.","Schae Lewis, Contributor
Director of marketing, NAPO-Chicago",2013-02-08
https://www.huffingtonpost.com/entry/grand-canyon-roadtrip_us_5b9df21be4b03a1dcc8f49aa,A Roadtrip from Scottsdale to the Grand Canyon,TRAVEL,"Since we had a teenager in tow we needed something adventurous, so we signed up the next day for a Pink Jeep Tour -- an off","Ramaa Reddy Raghavan, Contributor
Recent graduate, Columbia School of Journalism",2014-03-26
